,Município,PIB_per_capita,População,Capag_real,Capag_predito
161,Anapu,13582,27161,,1
162,Augusto Corrêa,6719,45516,,1
163,Aurora do Pará,8442,30896,,1
164,Aveiro,7212,16371,,1
165,Bagre,6929,30009,,1
166,Baião,7471,46416,,1
167,Bannach,23608,3310,,1
168,Barcarena,38739,122294,0,0
169,Belém,21191,1485732,1,1
170,Belterra,9032,17624,1,1
171,Benevides,25772,61689,,0
172,Bom Jesus do Tocantins,10451,16841,,1
173,Bonito,9464,16038,,1
174,Bragança,8920,126436,,0
175,Brasil Novo,16581,15190,,1
176,Brejo Grande do Araguaia,10576,7392,1,1
177,Breu Branco,8800,64738,1,1
178,Breves,7986,101891,,1
179,Bujaru,15721,28832,,1
180,Cachoeira do Piriá,5408,33178,1,1
181,Cachoeira do Arari,7811,23466,,1
182,Cametá,8333,136390,,1
183,Canaã dos Carajás,197137,36050,,0
184,Capanema,14974,68616,1,1
185,Capitão Poço,9217,54179,,1
186,Castanhal,19728,198294,,1
187,Chaves,7983,23482,,1
188,Colares,6718,12040,,1
189,Conceição do Araguaia,11577,47734,1,1
190,Concórdia do Pará,8940,32847,,1
191,Cumaru do Norte,21930,13179,0,0
192,Curionópolis,45532,18014,,1
193,Curralinho,14591,33893,,1
194,Curuá,8770,14197,,1
195,Curuçá,7355,39540,,1
196,Dom Eliseu,11626,58956,,1
197,Eldorado do Carajás,11216,33674,,1
198,Faro,7505,7319,,1
199,Floresta do Araguaia,16942,20080,,0
200,Garrafão do Norte,8407,26020,,1
201,Goianésia do Pará,8517,39857,1,1
202,Gurupá,8176,32991,,1
203,Igarapé-Açu,9202,38588,,1
204,Igarapé-Miri,6251,62355,1,1
205,Inhangapi,10914,11559,0,0
206,Ipixuna do Pará,8311,62455,,1
207,Irituia,6568,32504,,1
208,Itaituba,17949,101097,,1
209,Itupiranga,9760,53182,,1
210,Jacareacanga,51864,8899,,0
211,Jacundá,8283,58457,,1
212,Juruti,17514,56908,,1
