,Município,PIB_per_capita,População,Capag_real,Capag_predito
1407,Salgado de São Félix,10351,12149,1,1
1408,Santa Cecília,8124,6574,1,1
1409,Santa Cruz,8314,6585,1,1
1410,Santa Helena,8801,5907,,1
1411,Santa Inês,8242,3597,1,1
1412,Santa Luzia,15200,15336,0,0
1413,Santana de Mangueira,8149,5198,1,1
1414,Santana dos Garrotes,7885,7077,1,1
1415,Joca Claudino,10208,2685,0,0
1416,Santa Rita,17596,135807,0,0
1417,Santa Teresinha,9615,4585,1,1
1418,Santo André,10120,2532,,1
1419,São Bento,12945,33796,1,1
1420,São Bentinho,10335,4492,1,1
1421,São Domingos do Cariri,9281,2581,,1
1422,São Domingos,9385,3087,0,0
1423,São Francisco,10152,3371,0,0
1424,São João do Cariri,10376,4313,1,1
1425,São João do Tigre,7912,4430,1,1
1426,São José da Lagoa Tapada,7693,7680,1,1
1427,São José de Caiana,7567,6255,1,1
1428,São José de Espinharas,10149,4665,0,0
1429,São José dos Ramos,8037,5915,1,1
1430,São José de Piranhas,9572,20053,0,0
1431,São José de Princesa,7542,3908,,1
1432,São José do Bonfim,8182,3526,0,0
1433,São José do Brejo do Cruz,13251,1791,1,1
1434,São José do Sabugi,27928,4134,1,1
1435,São José dos Cordeiros,8326,3723,0,0
1436,São Mamede,9134,7745,0,0
1437,São Miguel de Taipu,9151,7124,1,1
1438,São Sebastião de Lagoa de Roça,8067,11753,0,0
1439,São Sebastião do Umbuzeiro,9412,3466,,1
1440,Sapé,10617,52443,,1
1441,São Vicente do Seridó,6794,10728,,1
1442,Serra Branca,9233,13630,0,0
1443,Serra da Raiz,10305,3141,1,1
1444,Serra Grande,9055,3089,1,1
1445,Serra Redonda,8559,7041,1,1
1446,Serraria,9376,6131,1,1
1447,Sertãozinho,9606,4958,0,0
1448,Sobrado,11447,7751,1,1
1449,Solânea,10755,26592,1,1
1450,Soledade,11269,14837,1,1
1451,Sossêgo,9326,3516,1,1
1452,Sousa,16215,69161,1,1
1453,Sumé,10389,16864,0,0
1454,Tacima,7086,10887,1,1
1455,Taperoá,8091,15185,1,1
1456,Tavares,7909,14614,1,1
1457,Teixeira,9174,15072,1,1
1458,Tenório,9332,3035,1,1
1459,Triunfo,7790,9466,1,1
1460,Uiraúna,10908,15300,0,0
1461,Umbuzeiro,7520,9902,1,1
1462,Várzea,10889,2779,1,1
1463,Vieirópolis,7896,5323,0,0
1464,Zabelê,10724,2225,1,1
1465,Abreu e Lima,17320,99622,0,0
1466,Afogados da Ingazeira,11753,37111,1,1
1467,Afrânio,8510,19456,1,1
1468,Agrestina,10300,24702,1,1
1469,Água Preta,6748,36454,1,1
1470,Águas Belas,8140,43195,1,1
1471,Alagoinha,9132,14554,1,1
1472,Aliança,8207,38375,1,1
1473,Altinho,7489,22959,1,1
1474,Amaraji,9811,22788,1,1
1475,Angelim,10702,11072,1,1
1476,Araçoiaba,6877,20312,0,0
1477,Araripina,12298,83964,1,1
1478,Arcoverde,13647,73844,1,1
1479,Barra de Guabiraba,9061,14257,1,1
1480,Barreiros,9993,42552,,1
1481,Belém de Maria,6659,12023,1,1
1482,Belém do São Francisco,14678,20728,,1
1483,Belo Jardim,24720,76185,1,1
1484,Betânia,6933,12671,1,1
1485,Bezerros,11892,60714,1,1
1486,Bodocó,7300,37909,1,1
1487,Bom Conselho,10422,48336,1,1
1488,Bom Jardim,8362,39132,1,1
1489,Bonito,10236,38152,1,1
1490,Brejão,16099,8999,1,1
1491,Brejinho,7421,7486,,1
1492,Brejo da Madre de Deus,7467,50249,1,1
1493,Buenos Aires,7885,13119,,1
1494,Buíque,7037,57825,1,1
1495,Cabo de Santo Agostinho,47575,205112,0,0
1496,Cabrobó,11320,33934,1,1
1497,Cachoeirinha,10761,20258,0,1
1498,Caetés,17024,28570,1,1
1499,Calçado,8436,11089,,1
1500,Calumbi,8734,5753,1,1
1501,Camaragibe,11807,156736,0,0
1502,Camocim de São Félix,8247,18627,1,1
1503,Camutanga,15220,8530,,1
1504,Canhotinho,7621,24835,1,1
1505,Capoeiras,10614,20048,1,1
1506,Carnaíba,7930,19491,1,1
1507,Carnaubeira da Penha,6125,12836,1,1
1508,Carpina,17467,82872,1,1
1509,Caruaru,20028,356872,1,1
1510,Casinhas,6628,14313,1,1
1511,Catende,6734,42434,1,1
1512,Cedro,7556,11722,1,1
1513,Chã de Alegria,11135,13428,1,1
1514,Chã Grande,9261,21579,1,1
1515,Condado,8460,26249,1,1
1516,Correntes,8255,18144,,1
1517,Cortês,9488,12596,1,1
1518,Cumaru,8327,11635,,1
1519,Cupira,10979,24041,1,1
1520,Custódia,13498,36841,1,1
1521,Dormentes,11599,18734,1,1
1522,Escada,13976,68448,1,1
1523,Exu,8417,31885,1,1
1524,Feira Nova,8679,22013,1,1
1525,Fernando de Noronha,53410,3021,,1
1526,Ferreiros,7832,14365,1,1
1527,Flores,7515,22631,0,1
1528,Floresta,12865,32556,1,1
1529,Frei Miguelinho,7533,15366,1,1
1530,Gameleira,7215,30780,1,1
1531,Garanhuns,17565,138983,1,1
1532,Glória do Goitá,14973,30504,1,1
1533,Goiana,116122,79455,0,0
1534,Granito,9237,7435,1,1
1535,Gravatá,13479,83437,1,1
1536,Iati,8458,19152,1,1
1537,Ibimirim,8930,29055,1,1
1538,Ibirajuba,7834,7756,1,1
1539,Igarassu,21887,115640,1,1
1540,Iguaracy,7348,12209,1,1
1541,Inajá,7317,22840,1,1
1542,Ingazeira,7950,4554,1,1
1543,Ipojuca,122169,94709,0,0
1544,Ipubi,9606,30512,0,1
1545,Itacuruba,11378,4869,1,1
1546,Itaíba,8165,26390,0,0
1547,Ilha de Itamaracá,9654,25836,1,1
1548,Itambé,11700,36422,,1
1549,Itapetim,7993,13680,0,1
1550,Itapissuma,59212,26397,,0
1551,Itaquitinga,7839,16903,1,1
1552,Jaboatão dos Guararapes,19149,697636,0,0
1553,Jaqueira,9358,11668,1,1
1554,Jataúba,7303,17070,1,1
1555,Jatobá,8482,14740,1,1
1556,João Alfredo,8701,33563,1,1
1557,Joaquim Nabuco,11434,16036,1,1
1558,Jucati,8839,11361,1,1
1559,Jupi,10545,14747,0,1
1560,Jurema,6799,15323,1,1
1561,Lagoa do Carro,13842,17886,,1
1562,Lagoa de Itaenga,14993,21397,1,1
1563,Lagoa do Ouro,8857,13065,1,1
1564,Lagoa dos Gatos,8624,16262,1,1
1565,Lagoa Grande,12656,25349,1,1
1566,Lajedo,11169,39982,1,1
1567,Limoeiro,13784,56302,1,1
1568,Macaparana,9447,25278,1,1
1569,Machados,13380,15851,,1
1570,Manari,5793,21085,,1
1571,Maraial,7628,11473,1,1
1572,Mirandiba,9878,15308,1,1
1573,Moreno,10566,62263,0,0
1574,Nazaré da Mata,16319,32366,,1
1575,Olinda,14122,391835,1,1
1576,Orobó,13496,23833,0,0
1577,Orocó,11719,14827,1,1
1578,Ouricuri,9671,68939,1,1
1579,Palmares,12704,62994,1,1
1580,Palmeirina,8822,7789,1,1
1581,Panelas,7178,26492,1,1
1582,Paranatama,24880,11478,1,1
1583,Parnamirim,7616,21914,1,1
1584,Passira,7751,28972,1,1
1585,Paudalho,14223,56074,0,1
1586,Paulista,12731,329117,1,1
1587,Pedra,11037,22566,1,1
1588,Pesqueira,10269,67047,1,1
1589,Petrolândia,36751,36187,1,1
1590,Petrolina,19445,343865,1,1
1591,Poção,7433,11299,1,1
1592,Pombos,13530,27033,1,1
1593,Primavera,10731,14831,1,1
1594,Quipapá,6944,25896,1,1
1595,Quixaba,7773,6822,0,1
1596,Recife,31994,1637834,1,1
1597,Riacho das Almas,8886,20443,1,1
1598,Ribeirão,9503,47209,1,1
1599,Rio Formoso,11369,23440,1,1
1600,Sairé,12411,10103,1,1
1601,Salgadinho,6268,10768,1,1
1602,Salgueiro,14172,60604,0,0
1603,Saloá,8036,15823,1,1
1604,Sanharó,7652,26026,1,1
1605,Santa Cruz,7137,15236,0,0
1606,Santa Cruz da Baixa Verde,7231,12531,1,1
1607,Santa Cruz do Capibaribe,14271,105936,1,1
1608,Santa Filomena,6809,14390,0,0
1609,Santa Maria da Boa Vista,15806,41759,1,1
1610,Santa Maria do Cambucá,7300,14048,1,1
1611,Santa Terezinha,7302,11764,1,1
1612,São Benedito do Sul,6147,15717,1,1
1613,São Bento do Una,18409,58956,1,1
1614,São Caitano,9628,37119,1,1
1615,São João,9912,22686,1,1
1616,São Joaquim do Monte,7524,21314,1,1
1617,São José da Coroa Grande,11039,21004,1,1
1618,São José do Belmonte,8008,33895,1,1
1619,São José do Egito,11370,33789,1,1
1620,São Lourenço da Mata,10511,112362,1,1
1621,São Vicente Férrer,11866,17950,1,1
1622,Serra Talhada,16007,85774,1,1
1623,Serrita,7038,19133,1,1
1624,Sertânia,13764,35761,1,1
1625,Sirinhaém,10824,45359,1,1
1626,Moreilândia,7259,11270,1,1
1627,Solidão,7336,5993,1,1
1628,Surubim,11683,64520,1,1
1629,Tabira,9351,28371,1,1
1630,Tacaimbó,12610,12890,1,1
1631,Tacaratu,6818,25417,1,1
1632,Tamandaré,12486,23149,1,1
1633,Taquaritinga do Norte,9871,28416,1,1
1634,Terezinha,8646,7139,1,1
1635,Terra Nova,6866,9983,1,1
1636,Timbaúba,13378,50956,0,0
1637,Toritama,14800,44254,0,0
1638,Tracunhaém,8596,13724,1,1
1639,Trindade,10451,30222,1,1
1640,Triunfo,9305,15265,1,1
1641,Tupanatinga,6882,27052,1,1
1642,Tuparetama,9611,8192,1,1
1643,Venturosa,11783,18298,1,1
1644,Verdejante,7186,9514,1,1
1645,Vertente do Lério,7829,7666,0,0
1646,Vertentes,7806,20503,0,0
1647,Vicência,10631,32513,1,1
1648,Vitória de Santo Antão,26964,137915,1,1
1649,Xexéu,8422,14691,1,1
1650,Água Branca,7004,20162,0,0
1651,Anadia,9399,17564,,1
1652,Arapiraca,19389,230417,1,1
1653,Atalaia,16261,47000,,1
1654,Barra de Santo Antônio,11013,15792,,1
1655,Barra de São Miguel,23554,8264,,1
1656,Batalha,9068,18455,,1
1657,Belém,19209,4406,,1
1658,Belo Monte,11821,6696,,1
1659,Boca da Mata,12132,27168,,1
1660,Branquinha,47215,10529,,1
1661,Cacimbinhas,8781,10730,,1
1662,Cajueiro,8676,21194,1,1
1663,Campestre,8437,6918,,1
1664,Campo Alegre,8124,56579,,1
1665,Campo Grande,8976,9549,,1
1666,Canapi,6629,17726,1,1
1667,Capela,10749,17124,1,1
1668,Carneiros,6885,9000,,1
1669,Chã Preta,15809,7319,,1
1670,Coité do Nóia,9180,10744,,1
1671,Colônia Leopoldina,11732,21575,,1
1672,Coqueiro Seco,11856,5826,0,0
1673,Coruripe,22506,56562,0,0
1674,Craíbas,9002,24129,0,0
1675,Delmiro Gouveia,10039,51763,0,0
1676,Dois Riachos,6673,11054,,1
1677,Estrela de Alagoas,6405,18153,0,0
1678,Feira Grande,14675,22152,,1
1679,Feliz Deserto,26515,4729,1,1
1680,Flexeiras,11307,12773,,1
1681,Girau do Ponciano,8473,40588,,1
1682,Ibateguara,8634,15606,,1
1683,Igaci,7698,25649,,1
1684,Igreja Nova,14378,24408,,1
1685,Inhapi,6413,18378,1,1
1686,Jacaré dos Homens,8756,5288,1,1
1687,Jacuípe,24373,7036,1,1
1688,Japaratinga,19400,8317,,1
1689,Jaramataia,9470,5597,,1
1690,Jequiá da Praia,18032,11624,,1
1691,Joaquim Gomes,10928,23903,,1
1692,Jundiá,11111,4175,,1
1693,Junqueiro,12811,24731,,1
1694,Lagoa da Canoa,11371,17934,,1
1695,Limoeiro de Anadia,14371,28495,,1
1696,Maceió,22126,1012382,0,0
1697,Major Isidoro,8857,19891,1,1
1698,Maragogi,19441,32369,,1
1699,Maravilha,7262,9326,1,1
1700,Marechal Deodoro,37503,51364,1,1
1701,Maribondo,10812,13337,,1
1702,Mar Vermelho,10388,3534,,1
1703,Mata Grande,8863,25226,,1
1704,Matriz de Camaragibe,11668,24649,,1
1705,Messias,8870,17676,1,1
1706,Minador do Negrão,10223,5337,,1
1707,Monteirópolis,7916,7153,,1
1708,Murici,11210,28137,1,1
1709,Novo Lino,10213,12615,,1
1710,Olho d'Água das Flores,9291,21437,,1
1711,Olho d'Água do Casado,7602,9303,1,1
1712,Olho d'Água Grande,8945,5117,,1
1713,Olivença,6820,11591,,1
1714,Ouro Branco,6762,11456,,1
1715,Palestina,7449,4985,,1
1716,Palmeira dos Índios,11344,73096,0,0
1717,Pão de Açúcar,8739,24446,,1
1718,Pariconha,6971,10527,0,0
1719,Paripueira,12725,13016,,1
1720,Passo de Camaragibe,15951,15232,,1
1721,Paulo Jacinto,9648,7568,1,1
1722,Penedo,11781,63516,1,1
1723,Piaçabuçu,17910,17805,,1
1724,Pilar,13783,35008,,1
1725,Pindoba,12160,2911,0,0
1726,Piranhas,9888,24891,,1
1727,Poço das Trincheiras,6439,14354,,0
1728,Porto Calvo,12119,27079,,1
1729,Porto de Pedras,25309,7873,1,1
1730,Porto Real do Colégio,8836,20018,,1
1731,Quebrangulo,10739,11342,1,1
1732,Rio Largo,14045,74838,0,0
1733,Roteiro,17204,6680,,1
1734,Santa Luzia do Norte,18606,7272,,1
1735,Santana do Ipanema,10724,47486,,1
1736,Santana do Mundaú,101744,10755,1,1
1737,São Brás,12043,6953,,1
1738,São José da Laje,12668,23855,1,1
1739,São José da Tapera,7068,32111,,1
1740,São Luís do Quitunde,16709,34415,,1
1741,São Miguel dos Campos,17123,60775,0,0
1742,São Miguel dos Milagres,18786,7888,,1
1743,São Sebastião,12884,34011,1,1
1744,Satuba,12368,13716,,0
1745,Senador Rui Palmeira,6349,13818,,1
1746,Tanque d'Arca,8821,6187,0,0
1747,Taquarana,12761,19886,,1
1748,Teotônio Vilela,11655,43960,,1
1749,Traipu,7430,27632,,1
1750,União dos Palmares,14393,65461,1,1
1751,Viçosa,13185,25773,1,1
1752,Amparo de São Francisco,11686,2368,1,1
1753,Aquidabã,10753,21443,1,1
1754,Aracaju,26622,648939,0,0
1755,Arauá,10687,10168,1,1
1756,Areia Branca,10275,18396,1,1
1757,Barra dos Coqueiros,16438,29873,1,1
1758,Boquim,10937,26731,0,1
1759,Brejo Grande,9182,8264,1,1
1760,Campo do Brito,10975,17997,1,1
1761,Canhoba,10867,4011,1,1
1762,Canindé de São Francisco,73005,29430,1,1
1763,Capela,11067,33904,1,1
1764,Carira,9961,21724,1,1
1765,Carmópolis,24617,16324,,0
1766,Cedro de São João,9240,5880,0,0
1767,Cristinápolis,11570,18190,1,1
1768,Cumbe,9271,3977,1,1
1769,Divina Pastora,30179,5059,0,0
1770,Estância,24677,68804,0,0
1771,Feira Nova,10308,5567,1,1
1772,Frei Paulo,14054,15283,1,1
1773,Gararu,8931,11606,1,1
1774,General Maynard,9580,3307,1,1
1775,Gracho Cardoso,10474,5811,1,1
1776,Ilha das Flores,8448,8519,0,1
1777,Indiaroba,10378,17761,0,0
1778,Itabaiana,19020,94696,1,1
1779,Itabaianinha,10278,41684,0,0
1780,Itabi,10881,4921,,1
1781,Itaporanga d'Ajuda,26581,33994,1,1
1782,Japaratuba,21171,18576,1,1
1783,Japoatã,12407,13085,0,1
1784,Lagarto,14239,103576,1,1
1785,Laranjeiras,29166,29567,1,1
1786,Macambira,9345,6877,,1
1787,Malhada dos Bois,11663,3665,1,1
1788,Malhador,10060,12581,1,1
1789,Maruim,18454,17153,1,1
1790,Moita Bonita,11419,11322,0,1
1791,Monte Alegre de Sergipe,9186,15120,1,1
1792,Muribeca,11999,7610,1,1
1793,Neópolis,13541,18735,,1
1794,Nossa Senhora Aparecida,9529,8783,1,1
1795,Nossa Senhora da Glória,15374,36514,,1
1796,Nossa Senhora das Dores,11152,26460,1,1
1797,Nossa Senhora de Lourdes,9427,6470,,1
1798,Nossa Senhora do Socorro,14090,181503,0,0
1799,Pacatuba,12256,14347,1,1
1800,Pedra Mole,9357,3236,1,1
1801,Pedrinhas,8564,9538,1,1
1802,Pinhão,8341,6523,1,1
1803,Pirambu,12001,9199,1,1
1804,Poço Redondo,8613,34412,1,1
1805,Poço Verde,10106,23586,1,1
1806,Porto da Folha,9178,28497,0,0
1807,Propriá,17368,29559,0,0
1808,Riachão do Dantas,13472,19800,1,1
1809,Riachuelo,16934,10140,1,1
1810,Ribeirópolis,16712,18528,1,1
1811,Rosário do Catete,36097,10697,1,1
1812,Salgado,8747,19970,1,1
1813,Santa Luzia do Itanhy,11359,13947,0,0
1814,Santana do São Francisco,8917,7714,1,1
1815,Santa Rosa de Lima,11111,3904,1,1
1816,Santo Amaro das Brotas,10468,12051,1,1
1817,São Cristóvão,10061,89027,0,0
1818,São Domingos,9244,11065,1,1
1819,São Francisco,10031,3987,1,1
1820,São Miguel do Aleixo,9354,3913,1,1
1821,Simão Dias,13014,40486,1,1
1822,Siriri,16159,8813,1,1
1823,Telha,9854,3204,1,1
1824,Tobias Barreto,10753,51843,1,1
1825,Tomar do Geru,9325,13061,1,1
1826,Umbaúba,13652,25033,1,1
1827,Abaíra,6794,8767,,1
1828,Abaré,6957,19814,,1
1829,Acajutiba,8850,15129,1,1
1830,Adustina,6686,16784,1,1
1831,Água Fria,6524,16901,1,1
1832,Érico Cardoso,5933,10662,1,1
1833,Aiquara,9180,4478,0,0
1834,Alagoinhas,26272,150832,1,1
1835,Alcobaça,11365,22449,1,1
1836,Almadina,9017,5566,,1
1837,Amargosa,10143,37031,0,0
1838,Amélia Rodrigues,12394,25224,1,1
1839,América Dourada,7163,16097,1,1
1840,Anagé,9341,18194,1,1
1841,Andaraí,7909,13153,,1
1842,Andorinha,13040,14690,1,1
1843,Angical,9607,14017,1,1
1844,Anguera,6672,11142,1,1
1845,Antas,6128,19093,0,0
1846,Antônio Cardoso,9395,11691,,1
1847,Antônio Gonçalves,5916,11715,1,1
1848,Aporá,7112,17673,1,1
1849,Apuarema,9079,7360,1,1
1850,Aracatu,8289,13229,1,1
1851,Araçás,17243,12143,1,1
1852,Araci,7858,54099,1,1
1853,Aramari,8079,11332,1,1
1854,Arataca,7368,11079,1,1
1855,Aratuípe,7495,8813,1,1
1856,Aurelino Leal,9065,11774,,1
1857,Baianópolis,12394,13824,1,1
1858,Baixa Grande,7778,20488,1,1
1859,Banzaê,7308,13217,1,1
1860,Barra,6869,53231,1,1
1861,Barra da Estiva,12265,20813,1,1
1862,Barra do Choça,12464,32018,,1
1863,Barra do Mendes,6808,13900,1,1
1864,Barra do Rocha,10851,5821,,1
1865,Barreiras,30842,153831,1,1
1866,Barro Alto,6203,14802,1,1
1867,Barrocas,15110,15846,0,0
1868,Barro Preto,10838,5743,,1
1869,Belmonte,12442,23214,1,1
1870,Belo Campo,7538,17317,,1
1871,Biritinga,7607,15975,1,1
1872,Boa Nova,7159,12953,1,1
1873,Boa Vista do Tupim,6535,18622,1,1
1874,Bom Jesus da Lapa,14722,68609,0,0
1875,Bom Jesus da Serra,5813,9942,1,1
1876,Boninal,6762,14288,,1
1877,Bonito,9927,16637,,1
1878,Boquira,6955,21520,1,1
1879,Botuporã,8804,10300,1,1
1880,Brejões,8389,14370,0,1
1881,Brejolândia,8091,10493,1,1
1882,Brotas de Macaúbas,7774,10341,0,1
1883,Brumado,26374,67048,0,0
1884,Buerarema,10451,18391,,1
1885,Buritirama,6088,21067,,1
1886,Caatiba,9258,7043,,1
1887,Cabaceiras do Paraguaçu,6327,18698,1,1
1888,Cachoeira,13985,33861,,1
1889,Caculé,11872,23045,1,1
1890,Caém,7887,9372,1,1
1891,Caetanos,5601,15524,,1
1892,Caetité,16855,50861,1,1
1893,Cafarnaum,8771,18356,,1
1894,Cairu,63029,17913,1,1
1895,Caldeirão Grande,6868,13260,1,1
1896,Camacan,8835,31968,1,1
1897,Camaçari,81105,293723,0,0
1898,Camamu,9820,35248,1,1
1899,Campo Alegre de Lourdes,7539,28844,1,1
1900,Campo Formoso,15898,70912,0,0
1901,Canápolis,6762,9719,1,1
1902,Canarana,7457,26020,1,1
1903,Canavieiras,9973,31301,1,1
1904,Candeal,6482,8338,,1
1905,Candeias,50279,86677,0,0
1906,Candiba,7829,14268,,1
1907,Cândido Sales,8330,25332,,1
1908,Cansanção,7476,34784,1,1
1909,Canudos,7617,16752,1,1
1910,Capela do Alto Alegre,7701,11660,1,1
1911,Capim Grosso,14039,30451,0,0
1912,Caraíbas,7465,9107,1,1
1913,Caravelas,15910,21937,1,1
1914,Cardeal da Silva,11169,9240,1,1
1915,Carinhanha,7402,28965,1,1
1916,Casa Nova,9672,71366,1,1
1917,Castro Alves,10522,26209,0,1
1918,Catolândia,23988,3555,1,1
1919,Catu,10971,54424,1,1
1920,Caturama,6359,9340,1,1
1921,Central,9059,17252,,1
1922,Chorrochó,6866,11154,1,1
1923,Cícero Dantas,8087,33356,,1
1924,Cipó,7651,17097,1,1
1925,Coaraci,8691,17458,1,1
1926,Cocos,16958,18746,1,1
1927,Conceição da Feira,12009,22392,1,1
1928,Conceição do Almeida,9215,17332,1,1
1929,Conceição do Coité,11055,66191,1,1
1930,Conceição do Jacuípe,68300,32909,1,1
1931,Conde,10604,25630,1,1
1932,Condeúba,8596,17319,,1
1933,Contendas do Sincorá,9024,4086,0,0
1934,Coração de Maria,7586,22719,1,1
1935,Cordeiros,6457,8585,,1
1936,Coribe,8835,14240,1,1
1937,Coronel João Sá,8311,15801,1,1
1938,Correntina,60601,32081,1,1
1939,Cotegipe,9186,13796,1,1
1940,Cravolândia,6994,5349,1,1
1941,Crisópolis,7257,21040,,1
1942,Cristópolis,8040,13872,1,1
1943,Cruz das Almas,15661,62871,1,1
1944,Curaçá,9240,34389,1,1
1945,Dário Meira,8302,10906,1,1
1946,Dias d'Ávila,36526,79685,1,1
1947,Dom Basílio,9129,12155,1,1
1948,Dom Macedo Costa,7931,4050,0,0
1949,Elísio Medrado,7109,8119,1,1
1950,Encruzilhada,10359,17593,,1
1951,Entre Rios,13407,41654,1,1
1952,Esplanada,17024,36882,1,1
1953,Euclides da Cunha,9236,59842,0,0
1954,Eunápolis,25735,112318,1,1
1955,Fátima,9681,17601,1,1
1956,Feira da Mata,8022,5668,,1
1957,Feira de Santana,24074,609913,0,0
1958,Filadélfia,7291,16410,0,0
1959,Firmino Alves,8586,5604,1,1
1960,Floresta Azul,7384,10686,,1
1961,Formosa do Rio Preto,106481,25311,0,0
1962,Gandu,11199,32202,0,0
1963,Gavião,8654,4487,,1
1964,Gentio do Ouro,13219,11206,1,1
1965,Glória,11236,15208,0,1
1966,Gongogi,8058,7276,1,1
1967,Governador Mangabeira,8678,20679,,1
1968,Guajeru,7252,7239,1,1
1969,Guanambi,15961,84014,1,1
1970,Guaratinga,9374,20991,,1
1971,Heliópolis,7337,13076,1,1
1972,Iaçu,8247,24496,0,1
1973,Ibiassucê,8707,9427,1,1
1974,Ibicaraí,8295,22014,1,1
1975,Ibicoara,15724,19346,,1
1976,Ibicuí,9030,16162,1,1
1977,Ibipeba,7404,18097,1,1
1978,Ibipitanga,6786,14856,1,1
1979,Ibiquera,6851,4043,1,1
1980,Ibirapitanga,8427,23343,0,0
1981,Ibirapuã,32641,8581,0,0
1982,Ibirataia,10624,15760,1,1
1983,Ibitiara,6081,16272,,1
1984,Ibititá,6949,17150,1,1
1985,Ibotirama,12401,26846,1,1
1986,Ichu,6963,6194,0,1
1987,Igaporã,11445,15630,1,1
1988,Igrapiúna,11067,13367,1,1
1989,Iguaí,7177,26868,1,1
1990,Ilhéus,25829,164844,,1
1991,Inhambupe,16152,39499,0,0
1992,Ipecaetá,5475,14625,1,1
1993,Ipiaú,9913,45823,1,1
1994,Ipirá,11085,59763,1,1
1995,Ipupiara,8138,9817,,0
1996,Irajuba,9719,7243,0,0
1997,Iramaia,8200,8893,1,1
1998,Iraquara,16169,24942,,1
1999,Irará,8742,28892,1,1
2000,Irecê,16746,72386,0,0
2001,Itabela,11561,30413,0,1
2002,Itaberaba,14009,64325,0,1
2003,Itabuna,19184,212740,1,1
2004,Itacaré,11003,27891,1,1
2005,Itaeté,5898,15999,1,1
2006,Itagi,8090,12462,1,1
2007,Itagibá,9279,14712,0,1
2008,Itagimirim,16147,6914,1,1
2009,Itaguaçu da Bahia,8431,14311,1,1
2010,Itaju do Colônia,9796,6770,,1
2011,Itajuípe,11152,20587,1,1
2012,Itamaraju,13965,64521,0,0
2013,Itamari,8712,8069,1,1
2014,Itambé,10099,23358,,1
2015,Itanagra,10298,6445,1,1
2016,Itanhém,11605,19499,1,1
2017,Itaparica,10722,22114,1,1
2018,Itapé,9913,9008,1,1
2019,Itapebi,27428,10306,1,1
2020,Itapetinga,14271,75470,1,1
2021,Itapicuru,7677,35256,1,1
2022,Itapitanga,7157,10328,,1
2023,Itaquara,7945,8288,1,1
2024,Itarantim,13929,19646,,1
2025,Itatim,23178,14432,,0
2026,Itiruçu,7483,12624,1,1
2027,Itiúba,7204,36063,,1
2028,Itororó,10872,20375,,1
2029,Ituaçu,8462,18889,,1
2030,Ituberá,10492,28457,1,1
2031,Iuiu,8728,10969,1,1
2032,Jaborandi,78337,8496,1,1
2033,Jacaraci,6814,14834,0,1
2034,Jacobina,17237,80394,1,1
2035,Jaguaquara,10120,54163,1,1
2036,Jaguarari,19288,33385,1,1
2037,Jaguaripe,9053,18588,1,1
2038,Jandaíra,11335,10691,1,1
2039,Jequié,16887,155800,1,1
2040,Jeremoabo,8080,40232,1,1
2041,Jiquiriçá,6879,14516,0,0
2042,Jitaúna,14818,11540,1,1
2043,João Dourado,8412,24964,,1
2044,Juazeiro,19032,215183,0,0
2045,Jucuruçu,10218,9272,1,1
2046,Jussara,6839,15307,1,1
2047,Jussari,9175,5902,1,1
2048,Jussiape,8771,6406,,1
2049,Lafaiete Coutinho,10092,3757,1,1
2050,Lagoa Real,5790,15555,1,1
2051,Laje,9997,23638,,1
2052,Lajedão,14859,3934,1,1
2053,Lajedinho,17002,3808,0,0
2054,Lajedo do Tabocal,7754,8546,,1
2055,Lamarão,6142,8430,1,1
2056,Lapão,7624,27170,0,0
2057,Lauro de Freitas,33059,195095,0,0
2058,Lençóis,10749,11315,1,1
2059,Licínio de Almeida,8700,12406,,1
2060,Livramento de Nossa Senhora,9930,45388,,1
2061,Luís Eduardo Magalhães,72967,84753,0,0
2062,Macajuba,6456,11364,1,1
2063,Macarani,9005,18592,,1
2064,Macaúbas,7457,49474,1,1
2065,Macururé,5528,7862,0,0
2066,Madre de Deus,23019,20737,1,1
2067,Maetinga,12782,3577,,1
2068,Maiquinique,10168,10016,,1
2069,Mairi,7023,18753,0,0
2070,Malhada,8151,16830,1,1
2071,Malhada de Pedras,7382,8430,,1
2072,Manoel Vitorino,10233,13397,,1
2073,Mansidão,5620,13546,1,1
2074,Maracás,39669,21295,0,0
2075,Maragogipe,7429,44555,1,1
2076,Maraú,11351,20518,1,1
2077,Marcionílio Souza,7384,10434,1,1
2078,Mascote,9338,13931,1,1
2079,Mata de São João,24684,46014,0,0
2080,Matina,6127,12116,0,0
2081,Medeiros Neto,14560,22659,1,1
2082,Miguel Calmon,8294,26159,1,1
2083,Milagres,8592,11009,1,1
2084,Mirangaba,6388,18195,1,1
2085,Mirante,6633,8844,1,1
2086,Monte Santo,6863,49565,1,1
2087,Morpará,7447,8542,1,1
2088,Morro do Chapéu,10691,35383,,1
2089,Mortugaba,7337,12031,,1
2090,Mucugê,37229,9244,1,1
2091,Mucuri,59689,41221,1,1
2092,Mulungu do Morro,34599,11114,,1
2093,Mundo Novo,6060,26575,,1
2094,Muniz Ferreira,6831,7399,1,1
2095,Muquém do São Francisco,12405,11280,1,1
2096,Muritiba,8531,29387,0,0
2097,Mutuípe,9973,22156,,1
2098,Nazaré,9208,28451,1,1
2099,Nilo Peçanha,9286,13914,1,1
2100,Nordestina,11129,13095,0,0
