,Município,Região,UF,Reg_Metropolitana,Mun_Reg_Geog_Imediata,Mun_Reg_Geog_Intermediária,Tipo_Conc_Urbana,Hierarquia_Urbana,Hier_Urbana_princ_categ,Região_rural,Amazônia_Legal,Semiárido,Cid_Região_São_Paulo,PIB_per_capita,VAB_Indústria/Total,VAB_Serviço/Total,VAB_Adm/Total,VAB_Agricultura/Total,Capag_real,Capag_predito
0,Alta Floresta D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21552,0.05597990845865779,0.2622090505345573,0.3296316267694738,0.3521794142373111,,0
1,Ariquemes,Norte,Rondônia,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Capital Regional,Sim,Não,Não,23206,0.1535903942641957,0.4676361692814689,0.3050134930310123,0.07375949124399958,0,0
2,Cabixi,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,25837,0.03839822024471635,0.1866518353726363,0.3126659251019652,0.4622691879866518,0,0
3,Cacoal,Norte,Rondônia,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Centro Sub-regional,Sim,Não,Não,25708,0.1138255623946749,0.496921884869237,0.2805746565026045,0.1086773847912421,1,1
4,Cerejeiras,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,28714,0.05657612536107013,0.5175309621511721,0.2722338618697544,0.1536590506180033,0,0
5,Colorado do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20362,0.08475870593640994,0.3347570880333418,0.3427171711288433,0.2377637990952686,0,0
6,Corumbiara,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,42371,0.03213713563676333,0.09861942475494226,0.1841261245579935,0.6851140916665861,1,1
7,Costa Marques,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12890,0.03243901671618445,0.1927148180277689,0.4893091033311009,0.2855325671186943,0,0
8,Espigão D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,18984,0.1096514040892054,0.3276976726312083,0.3481151011755706,0.2145340347076624,0,0
9,Guajará-Mirim,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,18279,0.04017555705604321,0.5007817602196124,0.3941053895794822,0.06493452585204945,0,0
10,Jaru,Norte,Rondônia,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,28433,0.1721860696283,0.4474345168568699,0.247823308176397,0.1325561053384331,0,0
11,Ji-Paraná,Norte,Rondônia,Não,Polo,Polo,Média concentração urbana,Centro Subregional A,Centro Subregional,Região Rural de Capital Regional,Sim,Não,Não,26287,0.1382251255144421,0.5490547635494747,0.2641200961948855,0.04859932910409514,0,0
12,Machadinho D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,16423,0.07678297969913113,0.2138969642871766,0.397322152432583,0.3119962657538509,0,0
13,Nova Brasilândia D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18086,0.1061990911429306,0.2348080825402269,0.3619680471005173,0.2970219211752265,,0
14,Ouro Preto do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,22252,0.1095335336191505,0.3813199619385672,0.3172864122822961,0.1918587557332706,1,1
15,Pimenta Bueno,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,31046,0.1888249257973309,0.438067150397025,0.2579911576246326,0.1151157162670519,0,0
16,Porto Velho,Norte,Rondônia,Sim,Polo,Polo,Média concentração urbana,Capital Regional B,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,32042,0.2655809697725993,0.458741379471757,0.2353356712406016,0.04034191067747728,0,0
17,Presidente Médici,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21515,0.0966361770234453,0.3069753906895168,0.3282526000089135,0.2681332106407019,0,0
18,Rio Crespo,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,28611,0.07107878787878788,0.107529696969697,0.290870303030303,0.5305018181818182,1,1
19,Rolim de Moura,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,24077,0.2090971677154146,0.4180105828200455,0.2921832803416302,0.0807073062033551,1,1
20,Santa Luzia D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21625,0.0962424208120786,0.1898246085707615,0.3502734521476429,0.363645368293701,0,0
21,Vilhena,Norte,Rondônia,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Centro Sub-regional,Sim,Não,Não,28420,0.1860586021342532,0.4860909242165422,0.2682338658247712,0.05961619290681738,0,0
22,São Miguel do Guaporé,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,31025,0.1900031280993757,0.2275403206079483,0.2233922532841337,0.3590628154969898,1,0
23,Nova Mamoré,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17095,0.05141813884737502,0.1912386762538155,0.3799544903470878,0.3773846056341196,0,0
24,Alvorada D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17423,0.04748401648654788,0.2334363742576185,0.3993322623567975,0.3197432901697336,0,0
25,Alto Alegre dos Parecis,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21053,0.04376929459340265,0.1553135348068859,0.3338254311150313,0.4670842645816671,0,0
26,Alto Paraíso,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15655,0.07560533948688364,0.2400141018861273,0.4036344406518917,0.2807461179750974,0,0
27,Buritis,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17489,0.05944351290359182,0.2878203835146686,0.3742798068558605,0.2784547208109028,0,0
28,Novo Horizonte do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18946,0.06118948370781911,0.2077907336053426,0.3633972996663997,0.3676098705328145,1,1
29,Cacaulândia,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,22718,0.0245850630001391,0.1429198972083727,0.3106811043510729,0.5217992927584616,1,1
30,Campo Novo de Rondônia,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20011,0.08263538488617696,0.09678992607369162,0.3459685226472659,0.4746024994132833,1,1
31,Candeias do Jamari,Norte,Rondônia,Sim,do Entorno,do Entorno,Média concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21856,0.3427925020900864,0.1905168746974875,0.3108013464556535,0.1558874433476584,1,1
32,Castanheiras,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,36238,0.01619646144498554,0.06808680432752039,0.2365989244679018,0.6791087411921539,1,1
33,Chupinguaia,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,27680,0.177869455081412,0.1824060878685143,0.2734976323794325,0.3662233403136618,0,0
34,Cujubim,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14739,0.1725088479553339,0.1629980260007242,0.4161838739443776,0.2483092520995643,0,0
35,Governador Jorge Teixeira,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,22085,0.02750071901064136,0.09658901351740005,0.3287949381650848,0.5471095772217429,0,1
36,Itapuã do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17551,0.1502255935604347,0.2083579804446919,0.3873771993922313,0.2540276279620028,0,0
37,Ministro Andreazza,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21126,0.06278531738654439,0.2325246328313813,0.3290626097374564,0.3756171118134308,0,0
38,Mirante da Serra,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19672,0.06330008752272225,0.2774999278658883,0.3400498206265088,0.319145355044098,0,0
39,Monte Negro,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18031,0.0843840070948193,0.2093562929569137,0.3702128445791146,0.3360431601507649,0,0
40,Nova União,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17178,0.02919271634040518,0.1155153564961908,0.3947934816029517,0.4604899046838167,0,0
41,Parecis,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17923,0.03149956492313642,0.1074833220535628,0.3941216281543072,0.4668858164942473,,1
42,Pimenteiras do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,47731,0.03256144086593914,0.1136052208716569,0.2233263340529777,0.6304872879267343,0,0
43,Primavera de Rondônia,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20598,0.03581921289969937,0.1455486471713583,0.4251673954632413,0.3934476632959825,1,1
44,São Felipe D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16961,0.02669028844038397,0.1553479000937923,0.4382417989601788,0.3796968539039613,1,1
45,São Francisco do Guaporé,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17778,0.04911479495258735,0.2028593658241395,0.3643783592033601,0.3836444990296877,0,1
46,Seringueiras,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19812,0.05057745917960971,0.2141486550088701,0.3556306795554107,0.3796386807139495,1,1
47,Teixeirópolis,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20370,0.04647569928445312,0.1352569463804479,0.3639067001208066,0.4543374221726605,0,0
48,Theobroma,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18292,0.02804861688712404,0.09552735370663519,0.3793995331490971,0.497019130154812,1,1
49,Urupá,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18617,0.04249702985475032,0.2044418043153336,0.3695483462997739,0.3835032384164335,0,0
50,Vale do Anari,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14505,0.04046067292351615,0.1323304288288754,0.4679266488822287,0.3592693308874348,0,0
51,Vale do Paraíso,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21454,0.02420455955976664,0.1225743721295875,0.3323472216475651,0.5208669507771664,0,0
52,Acrelândia,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15737,0.03582499632026619,0.2336073434106003,0.4259303036114915,0.304637356657642,,1
53,Assis Brasil,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12532,0.03103849587019649,0.1817791487294216,0.5674722890749466,0.2196874682214162,1,1
54,Brasiléia,Norte,Acre,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,16165,0.08031556928605191,0.3111820268615167,0.429280254461033,0.1792195379275945,1,1
55,Bujari,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15606,0.02233757859100435,0.135798807028857,0.4279542157020796,0.4139029501853942,,1
56,Capixaba,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14874,0.02441866139618866,0.1521240514359612,0.4524375960764219,0.3710074909108655,,1
57,Cruzeiro do Sul,Norte,Acre,Não,Polo,Polo,,Centro Subregional B,Centro Subregional,Região Rural de Centro Sub-regional,Sim,Não,Não,16261,0.07615026848228268,0.440474135631412,0.4341684895007893,0.04920632180841883,1,1
58,Epitaciolândia,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,25349,0.04508370969941519,0.5517192509579619,0.2929050648312302,0.1102866265031246,1,1
59,Feijó,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10500,0.03309485820165731,0.2025666100502685,0.5990958532777463,0.1652369596422301,,1
60,Jordão,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,9428,0.0199909974316202,0.1195752905976117,0.7446977520057193,0.1157094818227553,1,1
61,Mâncio Lima,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10629,0.03427494319355505,0.1609326585416236,0.6279332782482958,0.1768487915719893,1,1
62,Manoel Urbano,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,13389,0.1095769162683661,0.1978184086521845,0.5277545962622967,0.1648332195331664,1,1
63,Marechal Thaumaturgo,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10462,0.02247523132386397,0.121433812080041,0.6759512913493056,0.1801291085387933,0,0
64,Plácido de Castro,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12926,0.0559612208672589,0.1846868552083719,0.5019253658195058,0.2574183212457426,,1
65,Porto Walter,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,9569,0.02241357246019123,0.1381469496700123,0.7149216621876086,0.1244995338123183,,1
66,Rio Branco,Norte,Acre,Não,Polo,Polo,Média concentração urbana,Capital Regional C,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,22287,0.1046833113527568,0.5507627342706203,0.3249910672642182,0.01956262611208972,0,0
67,Rodrigues Alves,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,9973,0.02253010061025895,0.1143658254989279,0.6675078344054098,0.1955907416570455,0,0
68,Santa Rosa do Purus,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,11233,0.02163330756235146,0.1327921427139707,0.6620565243535779,0.1835037081579475,,1
69,Senador Guiomard,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16360,0.06655498108084688,0.2512145807457901,0.4203720285375928,0.2618526327951243,,1
70,Sena Madureira,Norte,Acre,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,11475,0.04246724013184339,0.228213682771927,0.5362328161427767,0.1930842511455905,1,1
71,Tarauacá,Norte,Acre,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro Sub-regional,Sim,Não,Não,11645,0.0321536418481618,0.2348083243473601,0.5713271044934171,0.161706624653206,0,1
72,Xapuri,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12553,0.0177592480686546,0.1984862251707453,0.502514987761987,0.2812308441403176,1,1
73,Porto Acre,Norte,Acre,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12855,0.02676929184218071,0.1573120437553757,0.5034999889729396,0.312409853781179,1,1
74,Alvarães,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10707,0.04073635341134803,0.1633402732907364,0.4763263694450427,0.3195910211309738,1,1
75,Amaturá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7332,0.04040243514828488,0.1750201706559742,0.6269651108774846,0.1575878340382876,1,1
76,Anamã,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8767,0.04179375802969786,0.1639762626836452,0.4855487287950428,0.3086637708772145,0,1
77,Anori,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,10626,0.03029141104294478,0.1383454286996858,0.3957195496034715,0.4356342585665121,1,1
78,Apuí,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,9730,0.05913181294453385,0.2190837801967009,0.4238549683265838,0.2979245769180283,0,0
79,Atalaia do Norte,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7330,0.0273750169886766,0.1495647322226911,0.6693109392771049,0.1537350052575483,1,1
80,Autazes,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,9196,0.05092965450110377,0.2056625200618804,0.5023321030644703,0.2410699283276648,,0
81,Barcelos,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,6145,0.0486183405475499,0.2039888225302723,0.6780085109491717,0.0693721500800565,1,1
82,Barreirinha,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8192,0.03842830073495017,0.1822034234248519,0.6002172344625826,0.1791470772450865,1,1
83,Benjamin Constant,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7346,0.05716181215676945,0.2149398058642792,0.6158598898981742,0.1120351414470047,1,1
84,Beruri,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,7868,0.04416563292163313,0.1937934847095626,0.6386454344425867,0.1233954479262176,1,1
85,Boa Vista do Ramos,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7438,0.04140218322387929,0.1975371008954,0.6422353518270406,0.1188034000307496,1,1
86,Boca do Acre,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12248,0.1386360403925473,0.2619242334965561,0.3714798748399943,0.2279547717252169,1,1
87,Borba,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7487,0.04105669507537142,0.2164770487569493,0.6184058502902038,0.1240502113662004,1,1
88,Caapiranga,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,12138,0.03702379869243667,0.1488945500864343,0.4064624303001157,0.4076062232735875,1,1
89,Canutama,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,6965,0.03710592927820817,0.1927015417657436,0.6350099716192376,0.1351729692413899,,1
90,Carauari,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro Sub-regional,Sim,Não,Não,10911,0.06650299071331658,0.250873070658365,0.3989465344110556,0.2836740037473179,1,1
91,Careiro,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8414,0.08377863036876212,0.2055107780057963,0.5096379132009504,0.2010693738082728,1,1
92,Careiro da Várzea,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,11396,0.02802567246325546,0.08728457643733119,0.3486856502201824,0.5359981054417589,1,1
93,Coari,Norte,Amazonas,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,23921,0.4929784357748788,0.227493316787127,0.207069480140684,0.07245876729731027,1,1
94,Codajás,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,17818,0.02935846906886402,0.08393011177348748,0.2300941984045057,0.6566131805041827,1,1
95,Eirunepé,Norte,Amazonas,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro de zona,Sim,Não,Não,14854,0.03315807976557789,0.1352090767862018,0.304063303395546,0.5275656120683391,1,1
96,Envira,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,8007,0.03877531309359003,0.1738385757058691,0.5385853642831847,0.2487943079746306,1,1
97,Fonte Boa,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,9929,0.05108425719349159,0.2315280541870509,0.5738849156051594,0.1434913024277497,1,1
98,Guajará,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7528,0.03873292298453686,0.1940566147892375,0.6069408997648,0.1602612220387329,0,1
99,Humaitá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,11521,0.06947823273316202,0.3300348735086311,0.3606044056694704,0.2398807760853673,0,1
100,Ipixuna,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,5263,0.03053745928338762,0.1507649383243445,0.7375313718160944,0.08115955572168526,1,1
101,Iranduba,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,14276,0.1337188702556313,0.2451235330546047,0.3459819021533171,0.2751741540319624,0,0
102,Itacoatiara,Norte,Amazonas,Sim,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Metrópole,Sim,Não,Não,18818,0.06751008686491101,0.424332439605707,0.246778237863897,0.2613786716808659,1,1
103,Itamarati,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,12064,0.04382772217167122,0.1918194029204038,0.4757896789288964,0.2885415312621864,1,1
104,Itapiranga,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,12126,0.04214465716327528,0.2058712904803099,0.4274175348854704,0.3245571143792079,1,1
105,Japurá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,19244,0.04276187378009109,0.1872966818477554,0.5062459336369551,0.2636629798308393,1,1
106,Juruá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7255,0.04457016696564096,0.1626978651264563,0.5979814307398135,0.1947308245776578,,1
107,Jutaí,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,15198,0.04417547785973646,0.1977985338783713,0.3967663111740392,0.3612505423736555,1,1
108,Lábrea,Norte,Amazonas,Não,Polo,Polo,,Centro de Zona B,Centro de Zona,Região Rural de Centro de zona,Sim,Não,Não,10941,0.03731488596368174,0.1902992184015862,0.365875157816717,0.4065065503097709,,1
109,Manacapuru,Norte,Amazonas,Sim,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,14839,0.08230372365261714,0.2195652582444667,0.2810715168546635,0.4170580556748154,,1
110,Manaquiri,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,8834,0.03527366990262417,0.1321221394457525,0.4552338579694429,0.3773629050827063,0,0
111,Manaus,Norte,Amazonas,Sim,Polo,Polo,Grande concentração urbana,Núcleo de Metrópole,Metrópole,Região Rural de Metrópole,Sim,Não,Não,36445,0.4179405456640088,0.4375424205470153,0.141211607685039,0.003305394473367788,0,0
112,Manicoré,Norte,Amazonas,Não,Polo,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,9633,0.0708130988254346,0.2182150762359796,0.4301171820625376,0.2808526823262316,1,1
113,Maraã,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7062,0.03201236427042879,0.1341444083379567,0.699239121819767,0.1345882539430927,1,1
114,Maués,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,7988,0.05429560333229085,0.2582504423534251,0.5720600551183912,0.1153897012986195,0,1
115,Nhamundá,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7250,0.0458663685261816,0.2255278245515963,0.5903590638570562,0.1382331085917634,0,1
116,Nova Olinda do Norte,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,6718,0.04521038495971352,0.193082271438014,0.6466377730737373,0.1150653870932655,1,1
117,Novo Airão,Norte,Amazonas,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Metrópole,Sim,Não,Não,7168,0.05409515698545347,0.2538533484400307,0.6093575344653218,0.08267875202457627,1,1
118,Novo Aripuanã,Norte,Amazonas,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,7900,0.06981671951125203,0.1743613538524992,0.5195164075993092,0.2362952078983322,1,1
119,Parintins,Norte,Amazonas,Não,Polo,Polo,Média concentração urbana,Centro Subregional B,Centro Subregional,Região Rural de Metrópole,Sim,Não,Não,9890,0.05831870198579166,0.2685065955286353,0.4263405282576933,0.2468332417999961,1,1
