,Município,UF,Capag_real,Capag_predito
1456,Tavares,Paraíba,1,1
1457,Teixeira,Paraíba,1,1
1458,Tenório,Paraíba,1,1
1459,Triunfo,Paraíba,1,1
1460,Uiraúna,Paraíba,0,0
1461,Umbuzeiro,Paraíba,1,1
1462,Várzea,Paraíba,1,1
1463,Vieirópolis,Paraíba,0,1
1464,Zabelê,Paraíba,1,1
1465,Abreu e Lima,Pernambuco,0,0
1466,Afogados da Ingazeira,Pernambuco,1,1
1467,Afrânio,Pernambuco,1,1
1468,Agrestina,Pernambuco,1,1
1469,Água Preta,Pernambuco,1,1
1470,Águas Belas,Pernambuco,1,1
1471,Alagoinha,Pernambuco,1,1
1472,Aliança,Pernambuco,1,1
1473,Altinho,Pernambuco,1,1
1474,Amaraji,Pernambuco,1,1
1475,Angelim,Pernambuco,1,1
1476,Araçoiaba,Pernambuco,0,0
1477,Araripina,Pernambuco,1,1
1478,Arcoverde,Pernambuco,1,1
1479,Barra de Guabiraba,Pernambuco,1,1
1480,Barreiros,Pernambuco,,1
1481,Belém de Maria,Pernambuco,1,1
1482,Belém do São Francisco,Pernambuco,,1
1483,Belo Jardim,Pernambuco,1,1
1484,Betânia,Pernambuco,1,1
1485,Bezerros,Pernambuco,1,1
1486,Bodocó,Pernambuco,1,1
1487,Bom Conselho,Pernambuco,1,1
1488,Bom Jardim,Pernambuco,1,1
1489,Bonito,Pernambuco,1,1
1490,Brejão,Pernambuco,1,1
1491,Brejinho,Pernambuco,,1
1492,Brejo da Madre de Deus,Pernambuco,1,1
1493,Buenos Aires,Pernambuco,,1
1494,Buíque,Pernambuco,1,1
1495,Cabo de Santo Agostinho,Pernambuco,0,0
1496,Cabrobó,Pernambuco,1,1
1497,Cachoeirinha,Pernambuco,0,1
1498,Caetés,Pernambuco,1,1
1499,Calçado,Pernambuco,,1
1500,Calumbi,Pernambuco,1,1
1501,Camaragibe,Pernambuco,0,1
1502,Camocim de São Félix,Pernambuco,1,1
1503,Camutanga,Pernambuco,,1
1504,Canhotinho,Pernambuco,1,1
1505,Capoeiras,Pernambuco,1,1
1506,Carnaíba,Pernambuco,1,1
1507,Carnaubeira da Penha,Pernambuco,1,1
1508,Carpina,Pernambuco,1,1
1509,Caruaru,Pernambuco,1,1
1510,Casinhas,Pernambuco,1,1
1511,Catende,Pernambuco,1,1
1512,Cedro,Pernambuco,1,1
1513,Chã de Alegria,Pernambuco,1,1
1514,Chã Grande,Pernambuco,1,1
1515,Condado,Pernambuco,1,1
1516,Correntes,Pernambuco,,1
1517,Cortês,Pernambuco,1,1
1518,Cumaru,Pernambuco,,1
1519,Cupira,Pernambuco,1,1
1520,Custódia,Pernambuco,1,1
1521,Dormentes,Pernambuco,1,1
1522,Escada,Pernambuco,1,1
1523,Exu,Pernambuco,1,1
1524,Feira Nova,Pernambuco,1,1
1525,Fernando de Noronha,Pernambuco,,1
1526,Ferreiros,Pernambuco,1,1
1527,Flores,Pernambuco,0,0
1528,Floresta,Pernambuco,1,1
1529,Frei Miguelinho,Pernambuco,1,1
1530,Gameleira,Pernambuco,1,1
1531,Garanhuns,Pernambuco,1,1
1532,Glória do Goitá,Pernambuco,1,1
1533,Goiana,Pernambuco,0,0
1534,Granito,Pernambuco,1,1
1535,Gravatá,Pernambuco,1,1
1536,Iati,Pernambuco,1,1
1537,Ibimirim,Pernambuco,1,1
1538,Ibirajuba,Pernambuco,1,1
1539,Igarassu,Pernambuco,1,1
1540,Iguaracy,Pernambuco,1,1
1541,Inajá,Pernambuco,1,1
1542,Ingazeira,Pernambuco,1,1
1543,Ipojuca,Pernambuco,0,0
1544,Ipubi,Pernambuco,0,1
1545,Itacuruba,Pernambuco,1,1
1546,Itaíba,Pernambuco,0,0
1547,Ilha de Itamaracá,Pernambuco,1,1
1548,Itambé,Pernambuco,,1
1549,Itapetim,Pernambuco,0,1
1550,Itapissuma,Pernambuco,,1
1551,Itaquitinga,Pernambuco,1,1
1552,Jaboatão dos Guararapes,Pernambuco,0,1
1553,Jaqueira,Pernambuco,1,1
1554,Jataúba,Pernambuco,1,1
1555,Jatobá,Pernambuco,1,1
1556,João Alfredo,Pernambuco,1,1
1557,Joaquim Nabuco,Pernambuco,1,1
1558,Jucati,Pernambuco,1,1
1559,Jupi,Pernambuco,0,1
1560,Jurema,Pernambuco,1,1
1561,Lagoa do Carro,Pernambuco,,1
1562,Lagoa de Itaenga,Pernambuco,1,1
1563,Lagoa do Ouro,Pernambuco,1,1
1564,Lagoa dos Gatos,Pernambuco,1,1
1565,Lagoa Grande,Pernambuco,1,1
1566,Lajedo,Pernambuco,1,1
1567,Limoeiro,Pernambuco,1,1
1568,Macaparana,Pernambuco,1,1
1569,Machados,Pernambuco,,1
1570,Manari,Pernambuco,,1
1571,Maraial,Pernambuco,1,1
1572,Mirandiba,Pernambuco,1,1
1573,Moreno,Pernambuco,0,0
1574,Nazaré da Mata,Pernambuco,,1
1575,Olinda,Pernambuco,1,1
1576,Orobó,Pernambuco,0,1
1577,Orocó,Pernambuco,1,1
1578,Ouricuri,Pernambuco,1,1
1579,Palmares,Pernambuco,1,1
1580,Palmeirina,Pernambuco,1,1
1581,Panelas,Pernambuco,1,1
1582,Paranatama,Pernambuco,1,1
1583,Parnamirim,Pernambuco,1,1
1584,Passira,Pernambuco,1,1
1585,Paudalho,Pernambuco,0,0
1586,Paulista,Pernambuco,1,1
1587,Pedra,Pernambuco,1,1
1588,Pesqueira,Pernambuco,1,1
1589,Petrolândia,Pernambuco,1,1
1590,Petrolina,Pernambuco,1,1
1591,Poção,Pernambuco,1,1
1592,Pombos,Pernambuco,1,1
1593,Primavera,Pernambuco,1,1
1594,Quipapá,Pernambuco,1,1
1595,Quixaba,Pernambuco,0,1
1596,Recife,Pernambuco,1,1
1597,Riacho das Almas,Pernambuco,1,1
1598,Ribeirão,Pernambuco,1,1
1599,Rio Formoso,Pernambuco,1,1
1600,Sairé,Pernambuco,1,1
1601,Salgadinho,Pernambuco,1,1
1602,Salgueiro,Pernambuco,0,0
1603,Saloá,Pernambuco,1,1
1604,Sanharó,Pernambuco,1,1
1605,Santa Cruz,Pernambuco,0,1
1606,Santa Cruz da Baixa Verde,Pernambuco,1,1
1607,Santa Cruz do Capibaribe,Pernambuco,1,1
1608,Santa Filomena,Pernambuco,0,1
1609,Santa Maria da Boa Vista,Pernambuco,1,1
1610,Santa Maria do Cambucá,Pernambuco,1,1
1611,Santa Terezinha,Pernambuco,1,1
1612,São Benedito do Sul,Pernambuco,1,1
1613,São Bento do Una,Pernambuco,1,1
1614,São Caitano,Pernambuco,1,1
1615,São João,Pernambuco,1,1
1616,São Joaquim do Monte,Pernambuco,1,1
1617,São José da Coroa Grande,Pernambuco,1,1
1618,São José do Belmonte,Pernambuco,1,1
1619,São José do Egito,Pernambuco,1,1
1620,São Lourenço da Mata,Pernambuco,1,1
1621,São Vicente Férrer,Pernambuco,1,1
1622,Serra Talhada,Pernambuco,1,1
1623,Serrita,Pernambuco,1,1
1624,Sertânia,Pernambuco,1,1
1625,Sirinhaém,Pernambuco,1,1
1626,Moreilândia,Pernambuco,1,1
1627,Solidão,Pernambuco,1,1
1628,Surubim,Pernambuco,1,1
1629,Tabira,Pernambuco,1,1
1630,Tacaimbó,Pernambuco,1,1
1631,Tacaratu,Pernambuco,1,1
1632,Tamandaré,Pernambuco,1,1
1633,Taquaritinga do Norte,Pernambuco,1,1
1634,Terezinha,Pernambuco,1,1
1635,Terra Nova,Pernambuco,1,1
1636,Timbaúba,Pernambuco,0,0
1637,Toritama,Pernambuco,0,0
1638,Tracunhaém,Pernambuco,1,1
1639,Trindade,Pernambuco,1,1
1640,Triunfo,Pernambuco,1,1
1641,Tupanatinga,Pernambuco,1,1
1642,Tuparetama,Pernambuco,1,1
1643,Venturosa,Pernambuco,1,1
1644,Verdejante,Pernambuco,1,1
1645,Vertente do Lério,Pernambuco,0,0
1646,Vertentes,Pernambuco,0,0
1647,Vicência,Pernambuco,1,1
1648,Vitória de Santo Antão,Pernambuco,1,1
1649,Xexéu,Pernambuco,1,1
1650,Água Branca,Alagoas,0,0
1651,Anadia,Alagoas,,1
1652,Arapiraca,Alagoas,1,1
1653,Atalaia,Alagoas,,1
1654,Barra de Santo Antônio,Alagoas,,1
1655,Barra de São Miguel,Alagoas,,1
1656,Batalha,Alagoas,,0
1657,Belém,Alagoas,,1
1658,Belo Monte,Alagoas,,1
1659,Boca da Mata,Alagoas,,1
1660,Branquinha,Alagoas,,1
1661,Cacimbinhas,Alagoas,,1
1662,Cajueiro,Alagoas,1,1
1663,Campestre,Alagoas,,1
1664,Campo Alegre,Alagoas,,1
1665,Campo Grande,Alagoas,,1
1666,Canapi,Alagoas,1,1
1667,Capela,Alagoas,1,1
1668,Carneiros,Alagoas,,1
1669,Chã Preta,Alagoas,,1
1670,Coité do Nóia,Alagoas,,1
1671,Colônia Leopoldina,Alagoas,,1
1672,Coqueiro Seco,Alagoas,0,0
1673,Coruripe,Alagoas,0,1
1674,Craíbas,Alagoas,0,0
1675,Delmiro Gouveia,Alagoas,0,0
1676,Dois Riachos,Alagoas,,0
1677,Estrela de Alagoas,Alagoas,0,0
1678,Feira Grande,Alagoas,,1
1679,Feliz Deserto,Alagoas,1,1
1680,Flexeiras,Alagoas,,1
1681,Girau do Ponciano,Alagoas,,1
1682,Ibateguara,Alagoas,,1
1683,Igaci,Alagoas,,1
1684,Igreja Nova,Alagoas,,1
1685,Inhapi,Alagoas,1,1
1686,Jacaré dos Homens,Alagoas,1,1
1687,Jacuípe,Alagoas,1,1
1688,Japaratinga,Alagoas,,0
1689,Jaramataia,Alagoas,,0
1690,Jequiá da Praia,Alagoas,,1
1691,Joaquim Gomes,Alagoas,,1
1692,Jundiá,Alagoas,,1
1693,Junqueiro,Alagoas,,1
1694,Lagoa da Canoa,Alagoas,,1
1695,Limoeiro de Anadia,Alagoas,,1
1696,Maceió,Alagoas,0,0
1697,Major Isidoro,Alagoas,1,1
1698,Maragogi,Alagoas,,1
1699,Maravilha,Alagoas,1,1
1700,Marechal Deodoro,Alagoas,1,1
1701,Maribondo,Alagoas,,1
1702,Mar Vermelho,Alagoas,,1
1703,Mata Grande,Alagoas,,1
1704,Matriz de Camaragibe,Alagoas,,1
1705,Messias,Alagoas,1,1
1706,Minador do Negrão,Alagoas,,1
1707,Monteirópolis,Alagoas,,1
1708,Murici,Alagoas,1,1
1709,Novo Lino,Alagoas,,1
1710,Olho d'Água das Flores,Alagoas,,0
1711,Olho d'Água do Casado,Alagoas,1,1
1712,Olho d'Água Grande,Alagoas,,1
1713,Olivença,Alagoas,,1
1714,Ouro Branco,Alagoas,,1
1715,Palestina,Alagoas,,1
1716,Palmeira dos Índios,Alagoas,0,0
1717,Pão de Açúcar,Alagoas,,1
1718,Pariconha,Alagoas,0,0
1719,Paripueira,Alagoas,,1
1720,Passo de Camaragibe,Alagoas,,1
1721,Paulo Jacinto,Alagoas,1,1
1722,Penedo,Alagoas,1,1
1723,Piaçabuçu,Alagoas,,1
1724,Pilar,Alagoas,,1
1725,Pindoba,Alagoas,0,0
1726,Piranhas,Alagoas,,1
1727,Poço das Trincheiras,Alagoas,,1
1728,Porto Calvo,Alagoas,,1
1729,Porto de Pedras,Alagoas,1,1
1730,Porto Real do Colégio,Alagoas,,1
1731,Quebrangulo,Alagoas,1,1
1732,Rio Largo,Alagoas,0,0
1733,Roteiro,Alagoas,,1
1734,Santa Luzia do Norte,Alagoas,,1
1735,Santana do Ipanema,Alagoas,,0
1736,Santana do Mundaú,Alagoas,1,1
1737,São Brás,Alagoas,,1
1738,São José da Laje,Alagoas,1,1
1739,São José da Tapera,Alagoas,,1
1740,São Luís do Quitunde,Alagoas,,1
1741,São Miguel dos Campos,Alagoas,0,0
1742,São Miguel dos Milagres,Alagoas,,1
1743,São Sebastião,Alagoas,1,1
1744,Satuba,Alagoas,,0
1745,Senador Rui Palmeira,Alagoas,,1
1746,Tanque d'Arca,Alagoas,0,0
1747,Taquarana,Alagoas,,1
1748,Teotônio Vilela,Alagoas,,1
1749,Traipu,Alagoas,,1
1750,União dos Palmares,Alagoas,1,1
1751,Viçosa,Alagoas,1,1
1752,Amparo de São Francisco,Sergipe,1,1
1753,Aquidabã,Sergipe,1,1
1754,Aracaju,Sergipe,0,0
1755,Arauá,Sergipe,1,1
1756,Areia Branca,Sergipe,1,1
1757,Barra dos Coqueiros,Sergipe,1,1
1758,Boquim,Sergipe,0,1
1759,Brejo Grande,Sergipe,1,1
1760,Campo do Brito,Sergipe,1,1
1761,Canhoba,Sergipe,1,1
1762,Canindé de São Francisco,Sergipe,1,1
1763,Capela,Sergipe,1,1
1764,Carira,Sergipe,1,1
1765,Carmópolis,Sergipe,,1
1766,Cedro de São João,Sergipe,0,1
1767,Cristinápolis,Sergipe,1,1
1768,Cumbe,Sergipe,1,1
1769,Divina Pastora,Sergipe,0,0
1770,Estância,Sergipe,0,1
1771,Feira Nova,Sergipe,1,1
1772,Frei Paulo,Sergipe,1,1
1773,Gararu,Sergipe,1,1
1774,General Maynard,Sergipe,1,1
1775,Gracho Cardoso,Sergipe,1,1
1776,Ilha das Flores,Sergipe,0,1
1777,Indiaroba,Sergipe,0,0
1778,Itabaiana,Sergipe,1,1
1779,Itabaianinha,Sergipe,0,1
1780,Itabi,Sergipe,,1
1781,Itaporanga d'Ajuda,Sergipe,1,1
1782,Japaratuba,Sergipe,1,1
1783,Japoatã,Sergipe,0,0
1784,Lagarto,Sergipe,1,1
1785,Laranjeiras,Sergipe,1,1
1786,Macambira,Sergipe,,1
1787,Malhada dos Bois,Sergipe,1,1
1788,Malhador,Sergipe,1,1
1789,Maruim,Sergipe,1,1
1790,Moita Bonita,Sergipe,0,1
1791,Monte Alegre de Sergipe,Sergipe,1,1
1792,Muribeca,Sergipe,1,1
1793,Neópolis,Sergipe,,1
1794,Nossa Senhora Aparecida,Sergipe,1,1
1795,Nossa Senhora da Glória,Sergipe,,1
1796,Nossa Senhora das Dores,Sergipe,1,1
1797,Nossa Senhora de Lourdes,Sergipe,,1
1798,Nossa Senhora do Socorro,Sergipe,0,0
1799,Pacatuba,Sergipe,1,1
1800,Pedra Mole,Sergipe,1,1
1801,Pedrinhas,Sergipe,1,1
1802,Pinhão,Sergipe,1,1
1803,Pirambu,Sergipe,1,1
1804,Poço Redondo,Sergipe,1,1
1805,Poço Verde,Sergipe,1,1
1806,Porto da Folha,Sergipe,0,1
1807,Propriá,Sergipe,0,0
1808,Riachão do Dantas,Sergipe,1,1
1809,Riachuelo,Sergipe,1,1
1810,Ribeirópolis,Sergipe,1,1
1811,Rosário do Catete,Sergipe,1,1
1812,Salgado,Sergipe,1,1
1813,Santa Luzia do Itanhy,Sergipe,0,0
1814,Santana do São Francisco,Sergipe,1,1
1815,Santa Rosa de Lima,Sergipe,1,1
1816,Santo Amaro das Brotas,Sergipe,1,1
1817,São Cristóvão,Sergipe,0,0
1818,São Domingos,Sergipe,1,1
1819,São Francisco,Sergipe,1,1
1820,São Miguel do Aleixo,Sergipe,1,1
1821,Simão Dias,Sergipe,1,1
1822,Siriri,Sergipe,1,1
1823,Telha,Sergipe,1,1
1824,Tobias Barreto,Sergipe,1,1
1825,Tomar do Geru,Sergipe,1,1
1826,Umbaúba,Sergipe,1,1
1827,Abaíra,Bahia,,1
1828,Abaré,Bahia,,1
1829,Acajutiba,Bahia,1,1
1830,Adustina,Bahia,1,1
1831,Água Fria,Bahia,1,1
1832,Érico Cardoso,Bahia,1,1
1833,Aiquara,Bahia,0,1
1834,Alagoinhas,Bahia,1,1
1835,Alcobaça,Bahia,1,1
1836,Almadina,Bahia,,1
1837,Amargosa,Bahia,0,0
1838,Amélia Rodrigues,Bahia,1,1
1839,América Dourada,Bahia,1,1
1840,Anagé,Bahia,1,1
1841,Andaraí,Bahia,,1
1842,Andorinha,Bahia,1,1
1843,Angical,Bahia,1,1
1844,Anguera,Bahia,1,1
1845,Antas,Bahia,0,1
1846,Antônio Cardoso,Bahia,,0
1847,Antônio Gonçalves,Bahia,1,1
1848,Aporá,Bahia,1,1
1849,Apuarema,Bahia,1,1
1850,Aracatu,Bahia,1,1
1851,Araçás,Bahia,1,1
1852,Araci,Bahia,1,1
1853,Aramari,Bahia,1,1
1854,Arataca,Bahia,1,1
1855,Aratuípe,Bahia,1,1
1856,Aurelino Leal,Bahia,,1
1857,Baianópolis,Bahia,1,1
1858,Baixa Grande,Bahia,1,1
1859,Banzaê,Bahia,1,1
1860,Barra,Bahia,1,1
1861,Barra da Estiva,Bahia,1,1
1862,Barra do Choça,Bahia,,1
1863,Barra do Mendes,Bahia,1,1
1864,Barra do Rocha,Bahia,,1
1865,Barreiras,Bahia,1,1
1866,Barro Alto,Bahia,1,1
1867,Barrocas,Bahia,0,0
1868,Barro Preto,Bahia,,1
1869,Belmonte,Bahia,1,1
1870,Belo Campo,Bahia,,1
1871,Biritinga,Bahia,1,1
1872,Boa Nova,Bahia,1,1
1873,Boa Vista do Tupim,Bahia,1,1
1874,Bom Jesus da Lapa,Bahia,0,0
1875,Bom Jesus da Serra,Bahia,1,1
1876,Boninal,Bahia,,1
1877,Bonito,Bahia,,1
1878,Boquira,Bahia,1,1
1879,Botuporã,Bahia,1,1
1880,Brejões,Bahia,0,1
1881,Brejolândia,Bahia,1,1
1882,Brotas de Macaúbas,Bahia,0,1
1883,Brumado,Bahia,0,0
1884,Buerarema,Bahia,,1
1885,Buritirama,Bahia,,1
1886,Caatiba,Bahia,,1
1887,Cabaceiras do Paraguaçu,Bahia,1,1
1888,Cachoeira,Bahia,,1
1889,Caculé,Bahia,1,1
1890,Caém,Bahia,1,1
1891,Caetanos,Bahia,,0
1892,Caetité,Bahia,1,1
1893,Cafarnaum,Bahia,,1
1894,Cairu,Bahia,1,1
1895,Caldeirão Grande,Bahia,1,1
1896,Camacan,Bahia,1,1
1897,Camaçari,Bahia,0,0
1898,Camamu,Bahia,1,1
1899,Campo Alegre de Lourdes,Bahia,1,1
1900,Campo Formoso,Bahia,0,0
1901,Canápolis,Bahia,1,1
1902,Canarana,Bahia,1,1
1903,Canavieiras,Bahia,1,1
1904,Candeal,Bahia,,1
1905,Candeias,Bahia,0,0
1906,Candiba,Bahia,,1
1907,Cândido Sales,Bahia,,1
1908,Cansanção,Bahia,1,1
1909,Canudos,Bahia,1,1
1910,Capela do Alto Alegre,Bahia,1,1
1911,Capim Grosso,Bahia,0,0
1912,Caraíbas,Bahia,1,1
1913,Caravelas,Bahia,1,1
1914,Cardeal da Silva,Bahia,1,1
1915,Carinhanha,Bahia,1,1
1916,Casa Nova,Bahia,1,1
1917,Castro Alves,Bahia,0,1
1918,Catolândia,Bahia,1,1
1919,Catu,Bahia,1,1
1920,Caturama,Bahia,1,1
1921,Central,Bahia,,1
1922,Chorrochó,Bahia,1,1
1923,Cícero Dantas,Bahia,,1
1924,Cipó,Bahia,1,1
1925,Coaraci,Bahia,1,1
1926,Cocos,Bahia,1,1
1927,Conceição da Feira,Bahia,1,1
1928,Conceição do Almeida,Bahia,1,1
1929,Conceição do Coité,Bahia,1,1
1930,Conceição do Jacuípe,Bahia,1,1
1931,Conde,Bahia,1,1
1932,Condeúba,Bahia,,1
1933,Contendas do Sincorá,Bahia,0,1
1934,Coração de Maria,Bahia,1,1
1935,Cordeiros,Bahia,,1
1936,Coribe,Bahia,1,1
1937,Coronel João Sá,Bahia,1,1
1938,Correntina,Bahia,1,1
1939,Cotegipe,Bahia,1,1
1940,Cravolândia,Bahia,1,1
1941,Crisópolis,Bahia,,1
1942,Cristópolis,Bahia,1,1
1943,Cruz das Almas,Bahia,1,1
1944,Curaçá,Bahia,1,1
1945,Dário Meira,Bahia,1,1
1946,Dias d'Ávila,Bahia,1,1
1947,Dom Basílio,Bahia,1,1
1948,Dom Macedo Costa,Bahia,0,1
1949,Elísio Medrado,Bahia,1,1
1950,Encruzilhada,Bahia,,1
1951,Entre Rios,Bahia,1,1
1952,Esplanada,Bahia,1,1
1953,Euclides da Cunha,Bahia,0,0
1954,Eunápolis,Bahia,1,1
1955,Fátima,Bahia,1,1
1956,Feira da Mata,Bahia,,1
1957,Feira de Santana,Bahia,0,0
1958,Filadélfia,Bahia,0,0
1959,Firmino Alves,Bahia,1,1
1960,Floresta Azul,Bahia,,1
1961,Formosa do Rio Preto,Bahia,0,0
1962,Gandu,Bahia,0,0
1963,Gavião,Bahia,,1
1964,Gentio do Ouro,Bahia,1,1
1965,Glória,Bahia,0,1
1966,Gongogi,Bahia,1,1
1967,Governador Mangabeira,Bahia,,1
1968,Guajeru,Bahia,1,1
1969,Guanambi,Bahia,1,1
1970,Guaratinga,Bahia,,1
1971,Heliópolis,Bahia,1,1
1972,Iaçu,Bahia,0,1
1973,Ibiassucê,Bahia,1,1
1974,Ibicaraí,Bahia,1,1
1975,Ibicoara,Bahia,,1
1976,Ibicuí,Bahia,1,1
1977,Ibipeba,Bahia,1,1
1978,Ibipitanga,Bahia,1,1
1979,Ibiquera,Bahia,1,1
1980,Ibirapitanga,Bahia,0,0
1981,Ibirapuã,Bahia,0,0
1982,Ibirataia,Bahia,1,1
1983,Ibitiara,Bahia,,1
1984,Ibititá,Bahia,1,1
1985,Ibotirama,Bahia,1,1
1986,Ichu,Bahia,0,1
1987,Igaporã,Bahia,1,1
1988,Igrapiúna,Bahia,1,1
1989,Iguaí,Bahia,1,1
1990,Ilhéus,Bahia,,1
1991,Inhambupe,Bahia,0,0
1992,Ipecaetá,Bahia,1,1
1993,Ipiaú,Bahia,1,1
1994,Ipirá,Bahia,1,1
1995,Ipupiara,Bahia,,0
1996,Irajuba,Bahia,0,1
1997,Iramaia,Bahia,1,1
1998,Iraquara,Bahia,,1
1999,Irará,Bahia,1,1
2000,Irecê,Bahia,0,0
2001,Itabela,Bahia,0,1
2002,Itaberaba,Bahia,0,1
2003,Itabuna,Bahia,1,1
2004,Itacaré,Bahia,1,1
2005,Itaeté,Bahia,1,1
2006,Itagi,Bahia,1,1
2007,Itagibá,Bahia,0,1
2008,Itagimirim,Bahia,1,1
2009,Itaguaçu da Bahia,Bahia,1,1
2010,Itaju do Colônia,Bahia,,1
2011,Itajuípe,Bahia,1,1
2012,Itamaraju,Bahia,0,0
2013,Itamari,Bahia,1,1
2014,Itambé,Bahia,,1
2015,Itanagra,Bahia,1,1
2016,Itanhém,Bahia,1,1
2017,Itaparica,Bahia,1,1
2018,Itapé,Bahia,1,1
2019,Itapebi,Bahia,1,1
2020,Itapetinga,Bahia,1,1
2021,Itapicuru,Bahia,1,1
2022,Itapitanga,Bahia,,1
2023,Itaquara,Bahia,1,1
2024,Itarantim,Bahia,,1
2025,Itatim,Bahia,,1
2026,Itiruçu,Bahia,1,1
2027,Itiúba,Bahia,,1
2028,Itororó,Bahia,,1
2029,Ituaçu,Bahia,,1
2030,Ituberá,Bahia,1,1
2031,Iuiu,Bahia,1,1
2032,Jaborandi,Bahia,1,1
2033,Jacaraci,Bahia,0,0
2034,Jacobina,Bahia,1,1
2035,Jaguaquara,Bahia,1,1
2036,Jaguarari,Bahia,1,1
2037,Jaguaripe,Bahia,1,1
2038,Jandaíra,Bahia,1,1
2039,Jequié,Bahia,1,1
2040,Jeremoabo,Bahia,1,1
2041,Jiquiriçá,Bahia,0,0
2042,Jitaúna,Bahia,1,1
2043,João Dourado,Bahia,,1
2044,Juazeiro,Bahia,0,1
2045,Jucuruçu,Bahia,1,1
2046,Jussara,Bahia,1,1
2047,Jussari,Bahia,1,1
2048,Jussiape,Bahia,,1
2049,Lafaiete Coutinho,Bahia,1,1
2050,Lagoa Real,Bahia,1,1
2051,Laje,Bahia,,1
2052,Lajedão,Bahia,1,1
2053,Lajedinho,Bahia,0,0
2054,Lajedo do Tabocal,Bahia,,1
2055,Lamarão,Bahia,1,1
2056,Lapão,Bahia,0,0
2057,Lauro de Freitas,Bahia,0,0
2058,Lençóis,Bahia,1,1
2059,Licínio de Almeida,Bahia,,1
2060,Livramento de Nossa Senhora,Bahia,,0
2061,Luís Eduardo Magalhães,Bahia,0,0
2062,Macajuba,Bahia,1,1
2063,Macarani,Bahia,,1
2064,Macaúbas,Bahia,1,1
2065,Macururé,Bahia,0,0
2066,Madre de Deus,Bahia,1,1
2067,Maetinga,Bahia,,1
2068,Maiquinique,Bahia,,1
2069,Mairi,Bahia,0,0
2070,Malhada,Bahia,1,1
2071,Malhada de Pedras,Bahia,,1
2072,Manoel Vitorino,Bahia,,1
2073,Mansidão,Bahia,1,1
2074,Maracás,Bahia,0,0
2075,Maragogipe,Bahia,1,1
2076,Maraú,Bahia,1,1
2077,Marcionílio Souza,Bahia,1,1
2078,Mascote,Bahia,1,1
2079,Mata de São João,Bahia,0,0
2080,Matina,Bahia,0,1
2081,Medeiros Neto,Bahia,1,1
2082,Miguel Calmon,Bahia,1,1
2083,Milagres,Bahia,1,1
2084,Mirangaba,Bahia,1,1
2085,Mirante,Bahia,1,1
2086,Monte Santo,Bahia,1,1
2087,Morpará,Bahia,1,1
2088,Morro do Chapéu,Bahia,,1
2089,Mortugaba,Bahia,,1
2090,Mucugê,Bahia,1,1
2091,Mucuri,Bahia,1,1
2092,Mulungu do Morro,Bahia,,1
2093,Mundo Novo,Bahia,,1
2094,Muniz Ferreira,Bahia,1,1
2095,Muquém do São Francisco,Bahia,1,1
2096,Muritiba,Bahia,0,0
2097,Mutuípe,Bahia,,1
2098,Nazaré,Bahia,1,1
2099,Nilo Peçanha,Bahia,1,1
2100,Nordestina,Bahia,0,1
2101,Nova Canaã,Bahia,1,1
2102,Nova Fátima,Bahia,,1
2103,Nova Ibiá,Bahia,1,1
2104,Nova Itarana,Bahia,1,1
2105,Nova Redenção,Bahia,,1
2106,Nova Soure,Bahia,1,1
2107,Nova Viçosa,Bahia,,0
2108,Novo Horizonte,Bahia,1,1
2109,Novo Triunfo,Bahia,1,1
2110,Olindina,Bahia,1,1
2111,Oliveira dos Brejinhos,Bahia,1,1
2112,Ouriçangas,Bahia,0,0
2113,Ourolândia,Bahia,1,1
2114,Palmas de Monte Alto,Bahia,1,1
2115,Palmeiras,Bahia,0,0
2116,Paramirim,Bahia,1,1
2117,Paratinga,Bahia,1,1
2118,Paripiranga,Bahia,0,1
2119,Pau Brasil,Bahia,1,1
2120,Paulo Afonso,Bahia,0,0
2121,Pé de Serra,Bahia,1,1
2122,Pedrão,Bahia,0,0
2123,Pedro Alexandre,Bahia,1,1
2124,Piatã,Bahia,,1
2125,Pilão Arcado,Bahia,1,1
2126,Pindaí,Bahia,1,1
2127,Pindobaçu,Bahia,1,1
2128,Pintadas,Bahia,1,1
2129,Piraí do Norte,Bahia,1,1
2130,Piripá,Bahia,,1
2131,Piritiba,Bahia,1,1
2132,Planaltino,Bahia,0,1
2133,Planalto,Bahia,,0
2134,Poções,Bahia,1,1
2135,Pojuca,Bahia,0,0
2136,Ponto Novo,Bahia,,1
2137,Porto Seguro,Bahia,0,0
2138,Potiraguá,Bahia,,1
2139,Prado,Bahia,1,1
2140,Presidente Dutra,Bahia,1,1
2141,Presidente Jânio Quadros,Bahia,1,1
2142,Presidente Tancredo Neves,Bahia,1,1
2143,Queimadas,Bahia,1,1
2144,Quijingue,Bahia,1,1
2145,Quixabeira,Bahia,1,1
2146,Rafael Jambeiro,Bahia,1,1
2147,Remanso,Bahia,1,1
2148,Retirolândia,Bahia,0,1
2149,Riachão das Neves,Bahia,1,1
2150,Riachão do Jacuípe,Bahia,1,1
2151,Riacho de Santana,Bahia,0,0
2152,Ribeira do Amparo,Bahia,1,1
2153,Ribeira do Pombal,Bahia,1,1
2154,Ribeirão do Largo,Bahia,1,1
2155,Rio de Contas,Bahia,,1
2156,Rio do Antônio,Bahia,,1
2157,Rio do Pires,Bahia,,1
2158,Rio Real,Bahia,0,0
