,Município,UF,Capag_real,Capag_predito
167,Bannach,Pará,,1
168,Barcarena,Pará,0,0
169,Belém,Pará,1,1
170,Belterra,Pará,1,1
171,Benevides,Pará,,0
172,Bom Jesus do Tocantins,Pará,,1
173,Bonito,Pará,,1
174,Bragança,Pará,,1
175,Brasil Novo,Pará,,1
176,Brejo Grande do Araguaia,Pará,1,1
177,Breu Branco,Pará,1,1
178,Breves,Pará,,1
179,Bujaru,Pará,,1
180,Cachoeira do Piriá,Pará,1,1
181,Cachoeira do Arari,Pará,,1
182,Cametá,Pará,,1
183,Canaã dos Carajás,Pará,,0
184,Capanema,Pará,1,1
185,Capitão Poço,Pará,,1
186,Castanhal,Pará,,1
187,Chaves,Pará,,1
188,Colares,Pará,,1
189,Conceição do Araguaia,Pará,1,1
190,Concórdia do Pará,Pará,,1
191,Cumaru do Norte,Pará,0,0
192,Curionópolis,Pará,,1
193,Curralinho,Pará,,1
194,Curuá,Pará,,1
195,Curuçá,Pará,,1
196,Dom Eliseu,Pará,,1
197,Eldorado do Carajás,Pará,,1
198,Faro,Pará,,1
199,Floresta do Araguaia,Pará,,0
200,Garrafão do Norte,Pará,,1
201,Goianésia do Pará,Pará,1,1
202,Gurupá,Pará,,1
203,Igarapé-Açu,Pará,,1
204,Igarapé-Miri,Pará,1,1
205,Inhangapi,Pará,0,0
206,Ipixuna do Pará,Pará,,1
207,Irituia,Pará,,1
208,Itaituba,Pará,,1
209,Itupiranga,Pará,,1
210,Jacareacanga,Pará,,1
211,Jacundá,Pará,,1
212,Juruti,Pará,,1
213,Limoeiro do Ajuru,Pará,1,1
214,Mãe do Rio,Pará,,1
215,Magalhães Barata,Pará,,0
216,Marabá,Pará,0,0
217,Maracanã,Pará,,1
218,Marapanim,Pará,,1
219,Marituba,Pará,1,1
220,Medicilândia,Pará,,0
221,Melgaço,Pará,1,1
222,Mocajuba,Pará,1,1
223,Moju,Pará,,1
224,Mojuí dos Campos,Pará,0,0
225,Monte Alegre,Pará,,1
226,Muaná,Pará,,1
227,Nova Esperança do Piriá,Pará,,1
228,Nova Ipixuna,Pará,1,1
229,Nova Timboteua,Pará,,1
230,Novo Progresso,Pará,1,1
231,Novo Repartimento,Pará,,1
232,Óbidos,Pará,,1
233,Oeiras do Pará,Pará,,1
234,Oriximiná,Pará,,1
235,Ourém,Pará,1,1
236,Ourilândia do Norte,Pará,1,1
237,Pacajá,Pará,,1
238,Palestina do Pará,Pará,1,1
239,Paragominas,Pará,,1
240,Parauapebas,Pará,0,0
241,Pau D'Arco,Pará,,1
242,Peixe-Boi,Pará,,1
243,Piçarra,Pará,1,1
244,Placas,Pará,,1
245,Ponta de Pedras,Pará,,1
246,Portel,Pará,,1
247,Porto de Moz,Pará,,1
248,Prainha,Pará,,1
249,Primavera,Pará,1,1
250,Quatipuru,Pará,,1
251,Redenção,Pará,0,0
252,Rio Maria,Pará,,1
253,Rondon do Pará,Pará,,1
254,Rurópolis,Pará,,1
255,Salinópolis,Pará,,1
256,Salvaterra,Pará,,1
257,Santa Bárbara do Pará,Pará,,1
258,Santa Cruz do Arari,Pará,,1
259,Santa Izabel do Pará,Pará,,1
260,Santa Luzia do Pará,Pará,,1
261,Santa Maria das Barreiras,Pará,0,0
262,Santa Maria do Pará,Pará,,1
263,Santana do Araguaia,Pará,,1
264,Santarém,Pará,0,0
265,Santarém Novo,Pará,,1
266,Santo Antônio do Tauá,Pará,,1
267,São Caetano de Odivelas,Pará,,1
268,São Domingos do Araguaia,Pará,,1
269,São Domingos do Capim,Pará,,1
270,São Félix do Xingu,Pará,,1
271,São Francisco do Pará,Pará,,1
272,São Geraldo do Araguaia,Pará,1,1
273,São João da Ponta,Pará,,1
274,São João de Pirabas,Pará,,1
275,São João do Araguaia,Pará,,1
276,São Miguel do Guamá,Pará,1,1
277,São Sebastião da Boa Vista,Pará,,1
278,Sapucaia,Pará,1,1
279,Senador José Porfírio,Pará,,1
280,Soure,Pará,1,1
281,Tailândia,Pará,,1
282,Terra Alta,Pará,,1
283,Terra Santa,Pará,,1
284,Tomé-Açu,Pará,,1
285,Tracuateua,Pará,,1
286,Trairão,Pará,,1
287,Tucumã,Pará,0,0
288,Tucuruí,Pará,,0
289,Ulianópolis,Pará,,0
290,Uruará,Pará,,1
291,Vigia,Pará,,1
292,Viseu,Pará,1,1
293,Vitória do Xingu,Pará,,0
294,Xinguara,Pará,1,1
295,Serra do Navio,Amapá,,1
296,Amapá,Amapá,,1
297,Pedra Branca do Amapari,Amapá,1,1
298,Calçoene,Amapá,,1
299,Cutias,Amapá,,1
300,Ferreira Gomes,Amapá,1,1
301,Itaubal,Amapá,1,1
302,Laranjal do Jari,Amapá,,1
303,Macapá,Amapá,0,0
304,Mazagão,Amapá,1,1
305,Oiapoque,Amapá,1,1
306,Porto Grande,Amapá,1,1
307,Pracuúba,Amapá,,1
308,Santana,Amapá,,1
309,Tartarugalzinho,Amapá,1,1
310,Vitória do Jari,Amapá,1,1
311,Abreulândia,Tocantins,1,1
312,Aguiarnópolis,Tocantins,1,1
313,Aliança do Tocantins,Tocantins,0,0
314,Almas,Tocantins,1,1
315,Alvorada,Tocantins,0,0
316,Ananás,Tocantins,1,1
317,Angico,Tocantins,,1
318,Aparecida do Rio Negro,Tocantins,0,0
319,Aragominas,Tocantins,0,1
320,Araguacema,Tocantins,,1
321,Araguaçu,Tocantins,1,1
322,Araguaína,Tocantins,0,0
323,Araguanã,Tocantins,1,1
324,Araguatins,Tocantins,,1
325,Arapoema,Tocantins,1,1
326,Arraias,Tocantins,1,1
327,Augustinópolis,Tocantins,,1
328,Aurora do Tocantins,Tocantins,1,1
329,Axixá do Tocantins,Tocantins,1,1
