;Município;Região;UF;Reg_Metropolitana;Mun_Reg_Geog_Imediata;Mun_Reg_Geog_Intermediária;Tipo_Conc_Urbana;Hierarquia_Urbana;Hier_Urbana_princ_categ;Região_rural;Amazônia_Legal;Semiárido;Cid_Região_São_Paulo;PIB_PERC;VAB_Indústria/Total;VAB_Serviço/Total;VAB_Adm/Total;VAB_Agricultura/Total;CLASS_CAPAG_real;CLASS_CAPAG_predito
4023;Figueira;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;19071;0,261645858;0,331439002;0,262929344;0,143971535;0;0
4024;Floraí;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;35608;0,096412461;0,336659502;0,151439557;0,415482426;0;1
4025;Flor da Serra do Sul;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;26833;0,058077102;0,326459265;0,214275849;0,401170519;1;0
4026;Floresta;Sul;Paraná;Sim;do Entorno;do Entorno;Média concentração urbana;Integrante de Capital Regional B;Capital Regional;Região Rural de Capital Regional;Não;Não;Não;30945;0,088539371;0,468381451;0,187454533;0,255619335;1;1
4027;Florestópolis;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;23371;0,257023137;0,361860389;0,212750488;0,168357382;0;1
4028;Flórida;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;22595;0,103383295;0,351834726;0,289071906;0,255692624;1;1
4029;Formosa do Oeste;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;39962;0,045122575;0,431567544;0,130458245;0,392847579;1;1
4030;Foz do Iguaçu;Sul;Paraná;Não;Polo;do Entorno;Média concentração urbana;Centro Subregional A;Centro Subregional;Região Rural de Capital Regional;Não;Não;Não;56702;0,549821449;0,350871987;0,094754693;0,004551728;1;1
4031;Francisco Alves;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;32119;0,038342882;0,353595699;0,160836612;0,447213925;1;1
4032;Francisco Beltrão;Sul;Paraná;Não;Polo;do Entorno;;Centro Subregional A;Centro Subregional;Região Rural de Capital Regional;Não;Não;Não;35460;0,211712717;0,582256799;0,143686229;0,062343554;1;0
4033;Foz do Jordão;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;25851;0,184461;0,23008467;0,218142677;0,367294702;0;1
4034;General Carneiro;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;20913;0,119180916;0,28700514;0,225166788;0,368639756;0;1
