;Município;Região;UF;Reg_Metropolitana;Mun_Reg_Geog_Imediata;Mun_Reg_Geog_Intermediária;Tipo_Conc_Urbana;Hierarquia_Urbana;Hier_Urbana_princ_categ;Região_rural;Amazônia_Legal;Semiárido;Cid_Região_São_Paulo;PIB_PERC;VAB_Indústria/Total;VAB_Serviço/Total;VAB_Adm/Total;VAB_Agricultura/Total;CLASS_CAPAG_real;CLASS_CAPAG_predito
4116;Marialva;Sul;Paraná;Sim;do Entorno;do Entorno;Média concentração urbana;Integrante de Capital Regional B;Capital Regional;Região Rural de Capital Regional;Não;Não;Não;42116;0,263996668;0,511575001;0,12319582;0,101231754;0;1
4117;Marilândia do Sul;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;37610;0,055515622;0,342512337;0,132521266;0,469444328;0;1
4118;Marilena;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;19342;0,126598406;0,340804214;0,253010363;0,27957148;1;0
4119;Mariluz;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;22238;0,057866542;0,333076047;0,212826662;0,396216966;0;0
4120;Maringá;Sul;Paraná;Sim;Polo;Polo;Média concentração urbana;Núcleo de Capital Regional B;Capital Regional;Região Rural de Capital Regional;Não;Não;Não;44442;0,189996115;0,685171047;0,118499509;0,006333206;1;1
4121;Mariópolis;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;42681;0,093819877;0,341714944;0,130803601;0,433657634;1;1
4122;Maripá;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;62613;0,166901448;0,348845435;0,109768963;0,374481051;1;1
4123;Marmeleiro;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;31572;0,112831051;0,471011529;0,168378306;0,247776665;0;1
4124;Marquinho;Sul;Paraná;Não;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;19146;0,032842095;0,237232513;0,305190575;0,424710235;0;0
4125;Marumbi;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;16218;0,038005309;0,310885915;0,335342587;0,315738539;0;0
4126;Matelândia;Sul;Paraná;Sim;do Entorno;do Entorno;;Centro Local;Centro Local;Região Rural de Capital Regional;Não;Não;Não;51478;0,387177428;0,345348421;0,110857185;0,156614495;1;1
